# source: https://www.cta-observatory.org, accessed: 21.12.2016
# log10(E/TeV), A_eff / cm^2
# -2.000627260330992918e+00,1.054635316019999846e+04
# -1.966940179049296189e+00,2.726738965739999912e+04
# -1.901163218117052578e+00,1.190988562349999993e+05
# -1.837150649195370855e+00,4.858124572850000113e+05
# -1.783742218533304946e+00,1.365568629350000061e+06
# -1.691012035334519714e+00,5.874581018439999782e+06
# -1.619529258315274500e+00,1.304702670030000061e+07
# -1.556996502045341790e+00,2.706096218040000275e+07
# -1.478303195588641428e+00,5.698697149970000237e+07
# -1.358377897670379308e+00,1.440176902970000207e+08
# -1.220435169265586817e+00,3.247514920709999800e+08
# -1.048328689156302396e+00,6.838856615579999685e+08
# -9.389114839644667754e-01,9.700601850720000267e+08
# -7.666306989968484364e-01,1.407715366909999847e+09
-4.650726270232991011e-01,2.342270041730000019e+09
-2.245461552141700956e-01,3.530650961029999733e+09
7.333728582299192666e-02,6.996558801570000648e+09
3.389778858134107620e-01,1.137903964600000000e+10
6.459216221024043358e-01,1.907778951029999924e+10
8.900480227661231591e-01,2.832338883220000076e+10
1.182755676765217201e+00,3.557583609069999695e+10
1.401885338235225209e+00,3.809413230469999695e+10
1.750381217762279729e+00,3.867753126620000458e+10
2.159958498843078889e+00,3.897257270419999695e+10
2.458169206142707175e+00,3.838472343619999695e+10
