# @article{aguilar2015precision,
#   title={
#       Precision measurement of the proton flux in primary cosmic rays from
#       rigidity 1 GV to 1.8 TV with the Alpha Magnetic Spectrometer on the
#       International Space Station},
#   author={
#       Aguilar, M and
#       Aisa, D and
#       Alpat, B and
#       Alvino, A and
#       Ambrosi, G and
#       Andeen, K and
#       Arruda, L and
#       Attig, N and
#       Azzarello, P and
#       Bachlechner, A and
#       others},
#   journal={Physical Review Letters},
#   volume={114},
#   number={17},
#   pages={171103},
#   year={2015},
#   publisher={APS}
# }
#
# Figure 3
#
# E / GeV   Phi * E^2.7 / (GeV^1.7/[m^2 sec sr])
0.4901293164    96.535117364
0.6188887836    192.0953782417
0.761108199     308.6768123802
0.9278066363    486.4328576304
1.1015403381    722.6843645476
1.307806033     1019.16851767
1.525600557     1370.0120120721
1.7640692362    1787.5058126956
2.039813276     2272.9894942628
2.3277221013    2809.1673791759
2.6562677302    3398.0488295187
3.0178747066    4022.536972601
3.3837361601    4657.3360675963
3.827493785     5307.1639750878
4.2726608792    5943.8029763137
4.7696043454    6569.9468952463
5.3009648837    7170.5522448617
5.9175080491    7736.2353636261
6.5478703707    8271.8315083429
7.2453820148    8749.7047004464
7.9819894089    9182.1899284605
8.7548689274    9564.2221744089
9.6449394816    9920.3670864372
10.6254997506   10261.946649474
11.6145197162   10547.5055190604
12.6151464427   10788.1225232048
13.909913404    11024.0045464837
15.3180818706   11239.7143936183
17.0913332982   11421.1498437041
18.9044218245   11566.6558990857
20.8346887837   11699.1795556483
22.9804302416   11761.1387457713
25.6398134568   11807.2117337109
28.3614904002   11834.1485221075
31.2218131704   11839.3899965123
34.2837990725   11820.6079512727
38.0752667406   11784.2098822299
42.0571294614   11763.9147661553
46.3217789706   11698.6932951697
51.0311186336   11664.3962563627
55.5440320184   11547.3818410797
61.1999367054   11519.9081907394
66.8265679063   11482.1271523
73.8417896251   11380.3363141619
80.5178627764   11238.7063351058
87.9264183636   11170.537040594
97.4356120405   11101.9195615555
106.8914820653  11032.9726838434
115.4263519129  10905.7924229492
125.8251830998  10887.2981159713
135.2426989755  10733.7379906529
147.8310696523  10674.2428908572
156.153419087   10552.1500070065
170.2088914001  10524.3130398234
184.2701271488  10388.0115738603
203.7428712473  10274.9685642755
220.6745847869  10186.8631089362
244.9892632725  10112.2504739852
272.682171385   10035.4998419061
309.3491902091  9916.4695319396
353.0121876991  9696.5908145994
406.3994674063  9687.4970099227
478.270227438   9604.5448410071
579.6100998575  9705.0523101923
723.3374050579  9807.5913861815
958.6670151332  9639.3583231276
1412.1057413305 9399.7031119715
